sentence,verb,verb_idx,label
לוהק להאסיף בגזירה זאת,זאת,3,0
מבראשית בגשם מוכרזות,בגשם,1,0
חמודות מפזות,חמודות,0,0
קבעם משנה תורה חרוזות,תורה,2,0
קבעם משנה תורה חרוזות,חרוזות,3,1
רעים כבר אי לזאת,רעים,0,0
שיווע לבוא ולא הועיל בזאת,לבוא,1,0
שיווע לבוא ולא הועיל בזאת,ולא,2,0
שקד עם מבורכים ארץ חמד חזות,עם,1,0
שקד עם מבורכים ארץ חמד חזות,ארץ,3,0
שקד עם מבורכים ארץ חמד חזות,חמד,4,0
תם גמר וזאת פתח בזאת,תם,0,0
תם גמר וזאת פתח בזאת,פתח,3,0
תחכמון כל זאת לזאת נמנע ולמי זאת ברך וזאת,כל,1,0
תחכמון כל זאת לזאת נמנע ולמי זאת ברך וזאת,זאת,2,0
תחכמון כל זאת לזאת נמנע ולמי זאת ברך וזאת,זאת,6,0
תחכמון כל זאת לזאת נמנע ולמי זאת ברך וזאת,ברך,7,0
לחסדיו יקר מוות מלהתאונן,יקר,1,1
לחסדיו יקר מוות מלהתאונן,מוות,2,1
כי אם בצל ידו להתלונן,כי,0,0
כי אם בצל ידו להתלונן,אם,1,0
כי אם בצל ידו להתלונן,בצל,2,1
כי אם בצל ידו להתלונן,ידו,3,1
כי אם בצל ידו להתלונן,להתלונן,4,1
חנון חנוניו חונן,חונן,2,0
גנון גנוניו גונן,גנון,0,0
גנון גנוניו גונן,גנוניו,1,0
תינוק הממולט מלועני מר,תינוק,0,1
תינוק הממולט מלועני מר,הממולט,1,1
תינוק הממולט מלועני מר,מלועני,2,1
תינוק הממולט מלועני מר,מר,3,1
רם בסוף שישמר,רם,0,1
קטון בעזים נמר,בעזים,1,0
קטון בעזים נמר,נמר,2,0
צדיק כמה ברגש חמרמר,צדיק,0,0
פדויתו לפדות מכל צר נתמרמר,מכל,2,0
פדויתו לפדות מכל צר נתמרמר,צר,3,0
עליה נידון וסבל ושמר,עליה,0,0
סיחו המן הסילע הזה איך לו חי שמר,סיחו,0,0
סיחו המן הסילע הזה איך לו חי שמר,איך,4,0
סיחו המן הסילע הזה איך לו חי שמר,לו,5,0
סיחו המן הסילע הזה איך לו חי שמר,חי,6,0
ניהל צאנו בישימון כהאמר,צאנו,1,1
ממלכת ממלכות הפריש והימר,ממלכת,0,0
ממלכת ממלכות הפריש והימר,הפריש,2,0
למשנאיך השקה לעני השמר,למשנאיך,0,1
למשנאיך השקה לעני השמר,השקה,1,1
כוסו במלאך יין חמר,כוסו,0,1
כוסו במלאך יין חמר,במלאך,1,1
כוסו במלאך יין חמר,יין,2,1
כוסו במלאך יין חמר,חמר,3,1
ידידים החשיק כקיטור המתומר,ידידים,0,1
ידידים החשיק כקיטור המתומר,החשיק,1,1
ידידים החשיק כקיטור המתומר,כקיטור,2,1
ידידים החשיק כקיטור המתומר,המתומר,3,1
טענם בשא נא לצדיק כתמר,טענם,0,1
טענם בשא נא לצדיק כתמר,נא,2,0
טענם בשא נא לצדיק כתמר,לצדיק,3,0
חוקים ותורות היקל והחמר,חוקים,0,0
זרותים וארוקים להעיד כהאמר,זרותים,0,0
ותוכחת ועדות עת גמר,עת,2,0
הברכה בסוף התורה אמר,אמר,3,0
דבר גבורות אל לתולדות לו אמר,דבר,0,0
דבר גבורות אל לתולדות לו אמר,גבורות,1,0
דבר גבורות אל לתולדות לו אמר,אל,2,0
דבר גבורות אל לתולדות לו אמר,לו,4,0
דבר גבורות אל לתולדות לו אמר,אמר,5,0
בכבודו את ויזרח והופיע ויאמר,את,1,0
סלה תמית ותחיה,סלה,0,0
אהיה אשר אהיה,אשר,1,0
הייתה ותהיה,הייתה,0,0
הייתה ותהיה,ותהיה,1,0
בטל ממות מחייה,בטל,0,1
בטל ממות מחייה,ממות,1,1
בטל ממות מחייה,מחייה,2,1
אבי גדור אשר לשמים עלה,אבי,0,0
אבי גדור אשר לשמים עלה,גדור,1,0
אבי גדור אשר לשמים עלה,אשר,2,0
אבי גדור אשר לשמים עלה,לשמים,3,0
אבי גדור אשר לשמים עלה,עלה,4,0
תמהון איך להר נבו עלה,איך,1,0
תמהון איך להר נבו עלה,להר,2,0
תמהון איך להר נבו עלה,עלה,4,0
שבולת ירדן איך בעדו התעלה,ירדן,1,0
שבולת ירדן איך בעדו התעלה,איך,2,0
גיבור אשר שר לבת אש,אשר,1,0
גיבור אשר שר לבת אש,שר,2,0
גיבור אשר שר לבת אש,אש,4,0
רחבה למד מתוך האש,רחבה,0,1
רחבה למד מתוך האש,מתוך,2,0
רחבה למד מתוך האש,האש,3,0
דר ארבעים בתוך להבי אש,דר,0,0
דר ארבעים בתוך להבי אש,בתוך,2,0
דר ארבעים בתוך להבי אש,להבי,3,0
דר ארבעים בתוך להבי אש,אש,4,0
קרא ולמד לפני אש אוכלה אש,קרא,0,0
קרא ולמד לפני אש אוכלה אש,אש,3,0
קרא ולמד לפני אש אוכלה אש,אוכלה,4,0
קרא ולמד לפני אש אוכלה אש,אש,5,0
הוא ארבעים ניהג עמו,הוא,0,0
הוא ארבעים ניהג עמו,ניהג,2,0
הוא ארבעים ניהג עמו,עמו,3,0
צדיק השקול ככל עמו,צדיק,0,0
צדיק השקול ככל עמו,עמו,3,0
ואיך איום אשר איימו,ואיך,0,0
ואיך איום אשר איימו,איום,1,1
ואיך איום אשר איימו,אשר,2,0
זאת התורה בקראו,זאת,0,0
עשרת שמות קראו,שמות,1,0
סיח שמעו נא להקריאו,סיח,0,0
סיח שמעו נא להקריאו,שמעו,1,0
סיח שמעו נא להקריאו,נא,2,0
טעם דבר אחד בהשיחו,טעם,0,0
טעם דבר אחד בהשיחו,דבר,1,0
טעם דבר אחד בהשיחו,אחד,2,0
נענש מיתה ולא הועיל בשוחחו,ולא,2,0
יציר לפני צור מה יעש בדיבור שיחו,יציר,0,0
יציר לפני צור מה יעש בדיבור שיחו,צור,2,1
יציר לפני צור מה יעש בדיבור שיחו,מה,3,0
מגיד לאדם מה שיחו,מגיד,0,0
מגיד לאדם מה שיחו,מה,2,0
כנענשו עלות על ערש דויי,על,2,0
כנענשו עלות על ערש דויי,ערש,3,1
כנענשו עלות על ערש דויי,דויי,4,1
לשאר בני אדם לבי דויי,לשאר,0,1
לשאר בני אדם לבי דויי,בני,1,0
לשאר בני אדם לבי דויי,אדם,2,0
לשאר בני אדם לבי דויי,לבי,3,1
לשאר בני אדם לבי דויי,דויי,4,1
לעגמות נפש אקרא ויהי ויי,לעגמות,0,1
לעגמות נפש אקרא ויהי ויי,נפש,1,1
לעגמות נפש אקרא ויהי ויי,אקרא,2,0
לעגמות נפש אקרא ויהי ויי,ויהי,3,0
אדם ועזרו על ציווי בעברם,אדם,0,0
אדם ועזרו על ציווי בעברם,על,2,0
בן יומם חוייבו מגן להעבירם,בן,0,0
בן יומם חוייבו מגן להעבירם,מגן,3,0
גם כמלאכיו אז כמאז הידרם,גם,0,0
גם כמלאכיו אז כמאז הידרם,אז,2,0
גם כמלאכיו אז כמאז הידרם,כמאז,3,0
הרובץ לפתח הוא למו גרם,הרובץ,0,1
הרובץ לפתח הוא למו גרם,לפתח,1,1
הרובץ לפתח הוא למו גרם,הוא,2,0
הרובץ לפתח הוא למו גרם,למו,3,0
וחצי כוסו הוא הגירם,וחצי,0,1
וחצי כוסו הוא הגירם,כוסו,1,1
וחצי כוסו הוא הגירם,הוא,2,0
זרק לרגלם רשת ומיגרם,זרק,0,1
זרק לרגלם רשת ומיגרם,לרגלם,1,1
זרק לרגלם רשת ומיגרם,רשת,2,1
חזר והשיאם על דברתם לברם,על,2,0
טוב גיווים החתול כהוערם,טוב,0,0
יופים הכאר וצפד עורם,יופים,0,1
יופים הכאר וצפד עורם,הכאר,1,1
יופים הכאר וצפד עורם,וצפד,2,1
יופים הכאר וצפד עורם,עורם,3,1
כהפירו ציווי למיתה גררם,כהפירו,0,1
לרימה ותולעה ולטינוף מסרם,לרימה,0,0
מהם תמה ציר לאשר היקרים,תמה,1,0
מהם תמה ציר לאשר היקרים,ציר,2,1
שמתם למיתה לשאורם להחזירם,לשאורם,2,1
שמתם למיתה לשאורם להחזירם,להחזירם,3,1
עמדו בם צדיקים וברוך מקורם,עמדו,0,0
עמדו בם צדיקים וברוך מקורם,בם,1,0
עמדו בם צדיקים וברוך מקורם,צדיקים,2,0
