sentence,verb,verb_idx,label
אתה בראת את כל העולם כולו ברוב שכל כוננתו בחסד וברחמים,אתה,0,0
אתה בראת את כל העולם כולו ברוב שכל כוננתו בחסד וברחמים,את,2,0
אתה בראת את כל העולם כולו ברוב שכל כוננתו בחסד וברחמים,כל,3,0
אתה בראת את כל העולם כולו ברוב שכל כוננתו בחסד וברחמים,כולו,5,0
אתה בראת את כל העולם כולו ברוב שכל כוננתו בחסד וברחמים,ברוב,6,0
אתה בראת את כל העולם כולו ברוב שכל כוננתו בחסד וברחמים,שכל,7,0
אתה בראת את כל העולם כולו ברוב שכל כוננתו בחסד וברחמים,בחסד,9,0
בחכמה תשכל שמים עשית ורקעת ארץ בתבונה ובדעת,שמים,2,0
בחכמה תשכל שמים עשית ורקעת ארץ בתבונה ובדעת,ארץ,5,0
גם ממנה אדם יצרת וצאצאיו הרבית כחול הים,גם,0,0
גם ממנה אדם יצרת וצאצאיו הרבית כחול הים,אדם,2,0
גם ממנה אדם יצרת וצאצאיו הרבית כחול הים,כחול,6,0
גם ממנה אדם יצרת וצאצאיו הרבית כחול הים,הים,7,0
דור הנפילים מאסו דבריך וגם אמרו לך סור ממנו,דור,0,0
דור הנפילים מאסו דבריך וגם אמרו לך סור ממנו,דבריך,3,0
דור הנפילים מאסו דבריך וגם אמרו לך סור ממנו,וגם,4,0
דור הנפילים מאסו דבריך וגם אמרו לך סור ממנו,אמרו,5,0
דור הנפילים מאסו דבריך וגם אמרו לך סור ממנו,לך,6,0
דור הנפילים מאסו דבריך וגם אמרו לך סור ממנו,ממנו,8,0
הראית אותם את רוב כעסיך ובמה שחירפוך בהם דנת,אותם,1,0
הראית אותם את רוב כעסיך ובמה שחירפוך בהם דנת,את,2,0
הראית אותם את רוב כעסיך ובמה שחירפוך בהם דנת,רוב,3,0
הראית אותם את רוב כעסיך ובמה שחירפוך בהם דנת,בהם,7,0
ועמד מהם שריד כמעט זה נח שקראת צדיק,ועמד,0,0
ועמד מהם שריד כמעט זה נח שקראת צדיק,שריד,2,1
ועמד מהם שריד כמעט זה נח שקראת צדיק,כמעט,3,0
ועמד מהם שריד כמעט זה נח שקראת צדיק,זה,4,0
ועמד מהם שריד כמעט זה נח שקראת צדיק,נח,5,0
ועמד מהם שריד כמעט זה נח שקראת צדיק,צדיק,7,0
זך וישר מצאצאיו הוצאת אברהם שאהבך בכל לבבו,זך,0,0
זך וישר מצאצאיו הוצאת אברהם שאהבך בכל לבבו,וישר,1,0
זך וישר מצאצאיו הוצאת אברהם שאהבך בכל לבבו,אברהם,4,0
זך וישר מצאצאיו הוצאת אברהם שאהבך בכל לבבו,בכל,6,0
זך וישר מצאצאיו הוצאת אברהם שאהבך בכל לבבו,לבבו,7,1
חיבתך הודעת לכל באי חלד ולמאה שנת נתת לו פרי בטן,לכל,2,0
חיבתך הודעת לכל באי חלד ולמאה שנת נתת לו פרי בטן,באי,3,1
חיבתך הודעת לכל באי חלד ולמאה שנת נתת לו פרי בטן,חלד,4,1
חיבתך הודעת לכל באי חלד ולמאה שנת נתת לו פרי בטן,שנת,6,0
חיבתך הודעת לכל באי חלד ולמאה שנת נתת לו פרי בטן,לו,8,0
חיבתך הודעת לכל באי חלד ולמאה שנת נתת לו פרי בטן,פרי,9,1
חיבתך הודעת לכל באי חלד ולמאה שנת נתת לו פרי בטן,בטן,10,1
טרם יגדל אותו נסית באמרך לו העליהו לפני לעולה,אותו,2,0
טרם יגדל אותו נסית באמרך לו העליהו לפני לעולה,לו,5,0
טרם יגדל אותו נסית באמרך לו העליהו לפני לעולה,לעולה,8,0
ידודון מלאכיך בראותם אותו נעקד ובקומו לשחטו כולם צעקו,ידודון,0,0
ידודון מלאכיך בראותם אותו נעקד ובקומו לשחטו כולם צעקו,אותו,3,0
ידודון מלאכיך בראותם אותו נעקד ובקומו לשחטו כולם צעקו,נעקד,4,0
כה יהיה זרעך לאביו ברכת ואם זה נשחט איכן היא ברכה,כה,0,0
כה יהיה זרעך לאביו ברכת ואם זה נשחט איכן היא ברכה,יהיה,1,0
כה יהיה זרעך לאביו ברכת ואם זה נשחט איכן היא ברכה,ברכת,4,0
כה יהיה זרעך לאביו ברכת ואם זה נשחט איכן היא ברכה,ואם,5,0
כה יהיה זרעך לאביו ברכת ואם זה נשחט איכן היא ברכה,זה,6,0
כה יהיה זרעך לאביו ברכת ואם זה נשחט איכן היא ברכה,היא,9,0
כה יהיה זרעך לאביו ברכת ואם זה נשחט איכן היא ברכה,ברכה,10,0
לכן רצית למלטו מן האש ומן המאכלת לנינו הצלת,מן,3,0
לכן רצית למלטו מן האש ומן המאכלת לנינו הצלת,האש,4,0
ממנו הוצאת ידיד מבן זה יעקב שקראתו בכור,ממנו,0,0
ממנו הוצאת ידיד מבן זה יעקב שקראתו בכור,ידיד,2,1
ממנו הוצאת ידיד מבן זה יעקב שקראתו בכור,מבן,3,0
